prayer_id,catalog_duration_seconds,repository_asset,sha256,measured_duration_seconds,format,source_type,source_path,lyric_status,known_repetitions,context_suitability,rights_status,pronunciation_status,technical_status,debug_policy,release_policy,notes
"ganesha-gam","12","Anjali/Anjali/Resources/Audio/ganesha-gam.mp3","dbb942ee4a68ba99c5349cbc0b4023dc477dfa2556caa9fcad2e3daba3ce85ca","34.920000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_om_gam_ganapataye_namah_traditional.mp3","unverifiable","unknown","Broad metadata fit for dawn, beginnings, leaving home, and before work; not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 34.920s candidate does not match the restored 12s product duration","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical to the named Digital Temple variant. Filename and catalog topic are not proof of the words heard."
"ganesha-shri","10","Anjali/Anjali/Resources/Audio/ganesha-shri.m4a","c2ac787f5d096dfbffc99b9ed0f6b255a6f136a332d4f0b118ebc811ff46d7eb","9.652653","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","4","Catalog assignment only; dawn and leaving-home suitability lacks human review","not_cleared_for_distribution","unreviewed","FAIL: format shape passes, but synthetic voice, measured duration is below 10s minimum, and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it four times with 900ms gaps while the UI displays one copy. Audible pronunciation was not verified."
"ganesha-vakratunda","30","Anjali/Anjali/Resources/Audio/ganesha-vakratunda.mp3","25e7147e817898bc1147593e39a9727e1f30a9ae597d3bde8791d4c9af303b9b","18.960000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_vakratunda_mahakaya_traditional.mp3","unverifiable","unknown","Strong metadata fit for beginnings, work, meeting, and study; not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 18.960s candidate does not match the restored 30s product duration","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical to the named Digital Temple variant. Title/topic fit does not establish an exact recitation."
"shiva-namah","15","Anjali/Anjali/Resources/Audio/shiva-namah.mp3","9a2a4b13a5db7adaea4abdb4917735456033f06bad4142be522df5b311e40141","179.592000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_om_namah_shivaya_traditional.mp3","unverifiable","unknown","Digital Temple favors evening, night, meditation, and calm; Anjali sunset fits, while morning/before-work is only broadly plausible and unreviewed","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 179.592s candidate exceeds the restored 15s product duration and 60s limit","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical full-length song linked by title only; no heard transcript."
"shiva-mahamrityunjaya","40","Anjali/Anjali/Resources/Audio/shiva-mahamrityunjaya.m4a","818ef1bf2f24800e5dc752916b6a1d0cf31ecf2bf095621dbb11401e7ef86396","40.929932","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","5","Catalog assignment only; protection, anxiety, and dawn suitability lacks qualified review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current two-line Devanagari, but repeated the full verse five times. A separate Digital Temple Suno candidate exists but is also instrumented and rights/pronunciation-unapproved."
"vishnu-narayana","20","Anjali/Anjali/Resources/Audio/vishnu-narayana.mp3","93082780e1ace691641e718f8e2e6860db1f7a0cf63df04839e4d982b02cdfaa","112.752000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_om_namo_narayanaya_traditional.mp3","unverifiable","unknown","Digital Temple labels it anytime; Anjali morning and midday are broadly compatible but not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 112.752s candidate exceeds the restored 20s product duration and 60s limit","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling; never substitute for vishnu-shantakaram","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical full-length Digital Temple song. It is a different prayer from Shantakaram."
"vishnu-shantakaram","30","","","","","none","","missing","none","No exact candidate was found; a related Vishnu prayer is not a substitute","not_applicable","not_applicable","MISSING: no prayer-specific human recording or timing data","text-led only; no QA fixture; never substitute vishnu-narayana","text-only until an exact human recording clears all gates","The former vishnu-narayana Debug substitution was removed. Exact-ID playback now fails closed."
"krishna-vasudeva","20","Anjali/Anjali/Resources/Audio/krishna-vasudeva.mp3","b23ef686300e398076c158cf19e3322cd2b4ae08a9f244c268b3b8ca4556f84a","88.464000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_om_namo_bhagavate_vasudevaya_traditional.mp3","unverifiable","unknown","Digital Temple labels it anytime and devotional; Anjali morning, midday, sunset, gratitude, and before-work use is broadly compatible but unreviewed","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 88.464s candidate exceeds the restored 20s product duration and 60s limit","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical full-length Digital Temple song; no heard transcript."
"krishna-mahamantra","45","Anjali/Anjali/Resources/Audio/krishna-mahamantra.mp3","8fbe527c249d4c7d3e9408ca8d4c67ce39bb8e021c9a1bc306e268362e0247a4","22.152000","MP3; 48 kHz; stereo","Suno AI; traditional_religious mix","/Users/pchordia/Documents/wip_apps/core_apps/digital_temple/digital_temple/digital_temple/Resources/Audio/suno_hind_hare_krishna_maha_mantra_traditional.mp3","unverifiable","unknown","Strong metadata fit for devotional gratitude and anxiety/peace use; not culturally approved","needs_owner_review","unreviewed","FAIL: generated MP3/music, no mastering evidence, and 22.152s candidate does not match the restored 45s product duration","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling","exclude current hash; generated audio cannot satisfy the consumer human-recording policy","Byte-identical to the named Digital Temple variant; repetition/order and pronunciation remain unverified."
"hanuman-namah","15","Anjali/Anjali/Resources/Audio/hanuman-namah.m4a","89aa17c264e323e9e21859193bddf897eea5a38b4d33f62e999233ce31426a10","15.085079","AAC in m4a; 44.1 kHz; stereo","macOS synthetic TTS; Lekha Hindi voice","Generation command recovered from /Users/pchordia/.claude/projects/-Users-pchordia-Documents-Github-Anjali/8a2ca7a0-acf3-4ea5-a2c0-9d0fe2c1a2e3.jsonl","partial","7","Catalog assignment only; travel, protection, and leaving-home suitability lacks human review","not_cleared_for_distribution","unreviewed","FAIL: format and duration shape pass, but synthetic voice and no LUFS/true-peak/trim evidence","excluded from normal Debug/device; isolated QA fixture only with DEBUG && ENABLE_UNAPPROVED_AUDIO_PREVIEW plus deliberate bundling; never substitute for hanuman-manojavam","exclude current hash; synthetic TTS cannot satisfy the consumer human-recording policy","Generator input exactly matched current Devanagari, but repeated it seven times. It is a different prayer from Manojavam."
